id,count
6852123904,23
2230983294,24
342040842,11
6224066807,31
1897067588,57
4932403516,14
4731305489,25
4623504999,52
4676087367,28
6050027136,23
3004291289,20
3644945293,26
5222736851,28
4614873969,20
1439282131,8
7558229986,18
3232237447,23
3715669736,11
247470711,23
4735943244,27
861608773,33
7421349720,45
2188171629,29
4876248951,18
4434822945,47
2667091290,20
566077886,15
3365049500,17
5971671598,24
496380034,5
2511794705,34
4328533349,30
2058947638,15
2504007911,34
3674565156,16
65852625,19
5621180809,33
2196023570,22
4842561523,14
1290285741,25
5609573810,14
2439813616,14
217330024,30
275176054,24
3136674757,20
3827174510,21
4543903308,11
2385000670,33
4677117650,27
4739645879,13
3550276904,25
640173336,22
3078402009,35
2315350560,33
5181423725,32
3849318202,22
870710405,26
3275537015,44
5777129645,23
2723220367,30
4612828257,24
175398811,16
2191453879,10
3005607851,29
4963615502,10
485184060,30
526527116,17
1956678973,20
2862004252,6
236474697,41
5687925512,12
344841963,34
11808546,10
2042114239,31
489773343,31
5823326999,20
3406116788,17
7024620109,14
3554391279,40
4756001285,24
2391152358,24
2222498879,8
481887827,19
4588335754,24
2688848759,36
4044342247,42
2788183053,32
867599993,54
4078134904,28
4927150698,9
4644341405,23
4763468073,39
4704578554,38
3864680925,24
5672704774,10
7999505950,11
5501939468,17
2251152321,54
4812991186,32
275202755,23
2057262566,52
5009013963,29
2213113526,25
8248428448,37
1616016569,18
2436398074,13
4725046541,40
7149253081,78
3245504245,32
7109928015,29
3191805046,33
5287405,27
3575971480,28
2501742763,9
4130028176,31
6451269381,14
3589368949,20
4095309334,38
215978818,14
306113908,26
1713248099,20
895359811,16
4503476760,13
62597667,14
3455431229,34
1570723692,21
1205490378,20
6326513189,36
2223151597,44
1084527029,19
4648362551,35
242658502,13
399679638,16
4569383153,28
2978024878,13
2511760873,19
1279422342,19
5796947698,13
2737729252,17
4887180035,21
3448855727,26
71790092,19
3229442620,10
334768700,21
2904739724,20
3668900592,8
4967328828,14
4274782458,19
4668912499,23
3755306641,20
3367034082,20
3655745504,30
3077829432,51
2429405579,46
1314231418,18
2432061076,11
4675748463,28
2871134110,35
2647394564,21
4558179720,19
486016665,22
241031254,12
3361990489,14
800387501,14
2116381816,26
4798886213,26
3287760645,16
3631474374,16
3874741721,51
3187364311,36
3112964916,29
6901983968,7
3487046589,16
3124838157,29
1328411383,43
6696752037,38
559065775,35
4744289692,25
3356642567,12
7325903094,7
1491192153,22
3703413486,19
4670009878,50
3276620831,29
4909342623,18
243162937,48
5352158457,58
2704379125,12
3549408493,19
7028935309,21
496129405,12
2470519275,12
3613175012,41
516500358,45
4259979213,18
3017938268,31
70645290,19
4834121945,24
2718184776,29
3516285214,5
2749124340,12
3454315016,7
3883179400,40
2116705590,27
6217611379,37
7335945994,27
3614269018,32
3525098211,28
2527829321,11
3660303751,22
2091893535,24
2930902521,14
4887724305,33
2696060728,9
4981438692,20
5387261695,12
2644470867,11
2750832671,29
4607216899,41
1501297480,34
4722714581,29
4160672903,38
4089335666,30
1745110280,15
7151070637,18
2480664591,13
6221186953,29
3593220756,14
3154152744,13
4801153502,30
3640661245,20
4958327803,27
5639026536,19
5426416610,51
2798664824,10
262817915,33
2554586230,17
3837069734,41
7617060434,17
2164018393,21
2079491560,18
7024548973,20
276388524,33
6773823152,17
3384702365,17
4715587253,16
4869891236,55
5770961200,31
2537620898,22
2746877062,34
229352848,15
38130732,19
2824922268,25
3987997619,32
3420651743,19
3640020134,10
210625425,12
4525917968,45
2995173839,101
6310122280,17
4588353079,15
3377263562,15
1056415186,27
3190295971,48
4937760948,23
2776029171,11
4906687225,18
4819160095,42
4379578964,7
2080033499,46
317694142,40
3899256790,20
2391929964,30
4930632679,24
4492480277,25
5696549500,11
4904276466,32
3563924606,10
4775320265,32
252054933,44
88486961,15
3288928346,31
2386366490,19
390899292,39
4439517165,18
4718154276,28
2969233171,45
4983598261,30
2001867714,10
1924261173,22
3130093622,14
1089059626,41
7661766322,42
1158255688,9
4196910882,27
3333314878,19
6276165800,16
1469138762,18
3245525599,41
6953886164,14
4652063424,15
2315973850,32
3798453280,8
3060579494,50
2469827608,22
4703134449,32
4442764150,20
4710517021,57
3162045919,10
460973814,27
392167806,30
4915015674,18
3370308329,27
2693539377,21
1694114389,12
8005292930,22
171614657,23
3483640715,15
4452202808,15
4649746625,34
3272008494,20
62211045,19
3533484468,18
2413578705,22
298920219,7
4981855124,16
2441817857,36
4431674065,26
4567985082,55
4741608436,32
3426327477,27
2697058141,29
269650644,64
2845919674,34
2492258999,14
3654402537,45
2340467281,15
4973929160,25
4786187638,33
1991806812,52
213759069,14
4760475302,6
2473738924,36
1818403842,20
532914728,7
3322120108,18
7057098661,24
4648416380,30
309238565,16
4814731415,35
3086405249,8
16988097,16
5696948391,22
4524693539,26
5371186400,20
523485792,20
4604156574,30
4460706852,28
3454621502,26
2990967923,22
3547524138,35
618735339,13
103631543,26
4604078858,15
4830857471,14
394463341,28
3176278670,41
5238492471,18
2679382862,18
4821884870,14
2528395479,45
3109780402,5
4858202572,29
4665585666,42
3070739413,22
3276448136,41
2888545025,25
778257070,24
4926735881,27
2092291476,33
2925161354,12
2863027424,22
226531363,19
7694340978,18
4969217324,18
7233564186,22
4943178888,15
4808564802,23
172923228,12
4319178349,41
3534668485,36
2916920568,33
4044232507,13
3461049169,11
4862204000,14
4567985140,39
4600629110,31
4557534615,58
